SNr;WallId;DateOfAction;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
161;612861008745063;2015-12-31;1;114;3138;394;6;8;2;2;4;4;3138;114;0;15;114;8;6;6;1615;1;45;1569;3;4;1
162;612861008745063;2016-10-04;4;309;4050;461;88;173;75;1;20;0;4050;309;0;12;309;939;88;88;4483;1;307;4050;86;149;70
163;612861008745063;2016-10-05;4;980;2489;395;299;96;70;1;24;0;2489;980;0;56;980;14738;299;281;3067;1;618;2489;190;60;51
164;612861008745063;2016-10-06;7;180;6717;0;38;32;16;1;29;3;6717;180;0;120;180;516;38;38;6718;1;83;6717;12;15;5
165;612861008745063;2016-10-07;7;204;6284;794;50;80;16;2;27;0;6284;204;0;82;204;434;50;50;3266;1;100;3142;23;32;7
166;612861008745063;2016-10-08;6;368;3672;680;154;82;14;4;20;1;3672;368;1;53;368;277;154;154;1813;1;166;1599;52;37;3
167;612861008745063;2016-10-09;3;88;1478;152;8;8;2;2;17;1;1478;88;0;41;88;40;8;8;785;1;42;739;4;4;1
168;612861008745063;2016-10-10;7;342;3760;440;314;184;230;4;11;2;3760;342;0;32;342;23;314;314;1940;1;160;1703;58;61;45
169;612861008745063;2016-10-11;11;44;11116;158;3;25;7;2;9;2;11116;44;0;5;44;133;3;3;10788;1;22;10787;3;11;7
170;612861008745063;2016-10-12;8;478;2155;202;266;118;72;1;12;1;2155;196;0;17;478;11685;266;266;2156;1;260;2155;42;50;22
171;612861008745063;2016-10-13;3;28;1178;118;40;15;3;1;11;1;1178;2;0;41;17;39;40;40;1179;1;11;1178;40;6;3
172;612861008745063;2016-10-14;7;455;1590;95;106;91;106;1;9;5;1590;241;0;47;455;7685;106;106;1591;1;318;1590;44;59;62
